Date,AAPL,AMZN,GOOGL,META,MSFT
2023-02-22,146.92088317871094,95.79000091552734,90.96270751953125,169.9329376220703,246.2523193359375
2023-02-23,147.40432739257812,95.81999969482422,90.20841217041016,170.84657287597656,249.44419860839844
2023-02-24,144.75027465820312,93.5,88.46160125732422,169.20802307128906,244.01022338867188
2023-02-27,145.94412231445312,93.76000213623047,89.19606018066406,168.3639373779297,244.93052673339844
2023-02-28,145.44090270996094,94.2300033569336,89.38463592529297,173.72647094726562,244.20602416992188
2023-03-01,143.36895751953125,92.16999816894531,89.6823959350586,172.21701049804688,241.1218719482422
2023-03-02,143.96096801757812,92.12999725341797,91.3100814819336,173.31932067871094,245.86068725585938
2023-03-03,149.01255798339844,94.9000015258789,92.94770812988281,183.96493530273438,249.95330810546875
2023-03-06,151.775146484375,93.75,94.4166030883789,183.6173858642578,251.50027465820312
2023-03-07,149.57496643066406,93.55000305175781,93.15613555908203,183.2300567626953,248.8371124267578
2023-03-08,150.82798767089844,93.91999816894531,93.543212890625,183.68687438964844,248.39654541015625
2023-03-09,148.5784149169922,92.25,91.627685546875,180.42962646484375,247.04537963867188
2023-03-10,146.51634216308594,90.7300033569336,89.95035552978516,178.26475524902344,243.39337158203125
2023-03-13,148.4600372314453,92.43000030517578,90.4267578125,179.64512634277344,248.6119384765625
2023-03-14,150.55174255371094,94.87999725341797,93.26531219482422,192.6741180419922,255.33834838867188
2023-03-15,150.9463653564453,96.19999694824219,95.38926696777344,196.3782501220703,259.89111328125
2023-03-16,153.7681884765625,100.04000091552734,99.56769561767578,203.5084228515625,270.4261779785156
2023-03-17,152.9295196533203,98.94999694824219,100.85794830322266,194.25306701660156,273.58868408203125
2023-03-20,155.29747009277344,97.70999908447266,100.4609375,196.43780517578125,266.5391845703125
2023-03-21,157.15234375,100.61000061035156,104.1332015991211,200.75765991210938,268.0567626953125
2023-03-22,155.7217559814453,98.69999694824219,102.59483337402344,198.42393493652344,266.5978698730469
2023-03-23,156.8070068359375,98.70999908447266,104.80809020996094,202.86293029785156,271.8556823730469
2023-03-24,158.10940551757812,98.12999725341797,104.64930725097656,204.58094787597656,274.7048034667969
2023-03-27,156.16571044921875,98.04000091552734,101.69165802001953,201.4329376220703,270.6024475097656
2023-03-28,155.54412841796875,97.23999786376953,100.27236938476562,199.28790283203125,269.4764404296875
2023-03-29,158.62245178222656,100.25,100.6296615600586,203.92550659179688,274.64605712890625
2023-03-30,160.1912078857422,102.0,100.13341522216797,206.39822387695312,278.1120910644531
2023-03-31,162.69728088378906,103.29000091552734,102.95213317871094,210.4698028564453,282.2732238769531
2023-04-03,163.95028686523438,102.41000366210938,103.57740783691406,211.5919647216797,281.2255859375
2023-04-04,163.4175262451172,103.94999694824219,103.9346923828125,213.23052978515625,281.1766357421875
2023-04-05,161.572509765625,101.0999984741211,103.68657684326172,210.0129852294922,278.39605712890625
2023-04-06,162.46051025390625,102.05999755859375,107.60694122314453,214.6009521484375,285.5042419433594
2023-04-10,159.8656005859375,102.16999816894531,105.64179992675781,213.26031494140625,283.3405456542969
2023-04-11,158.6520538330078,99.91999816894531,104.55997467041016,212.36654663085938,276.9176025390625
2023-04-12,157.96139526367188,97.83000183105469,103.85529327392578,212.51551818847656,277.56378173828125
2023-04-13,163.3484649658203,102.4000015258789,106.62437438964844,218.82147216796875,283.7810363769531
2023-04-14,163.0031280517578,102.51000213623047,108.05357360839844,219.95355224609375,280.1584167480469
2023-04-17,163.0228729248047,102.73999786376953,105.17532348632812,217.34181213378906,282.7627868652344
2023-04-18,164.24632263183594,102.30000305175781,103.71635437011719,216.3785400390625,282.3417663574219
2023-04-19,165.3908233642578,104.30000305175781,103.39875030517578,214.20372009277344,282.42010498046875
2023-04-20,164.42391967773438,103.80999755859375,104.50042724609375,211.5919647216797,280.1290283203125
2023-04-21,162.815673828125,106.95999908447266,104.6195297241211,211.41323852539062,279.7862854003906
2023-04-24,163.12152099609375,106.20999908447266,105.17532348632812,211.3138885498047,275.8797302246094
2023-04-25,161.58238220214844,102.56999969482422,103.07122039794922,206.11024475097656,269.6624755859375
2023-04-26,161.572509765625,104.9800033569336,102.93226623535156,207.94740295410156,289.1954345703125
2023-04-27,166.160400390625,109.81999969482422,106.78317260742188,236.90512084960938,298.4576721191406
2023-04-28,167.41343688964844,105.44999694824219,106.53504180908203,238.65293884277344,300.8369445800781
2023-05-01,167.32464599609375,102.05000305175781,106.3960952758789,241.4930877685547,299.1724548339844
2023-05-02,166.2886505126953,103.62999725341797,104.53019714355469,237.58041381835938,299.0255432128906
2023-05-03,165.21322631835938,103.6500015258789,104.6195297241211,235.38577270507812,298.0367126464844
2023-05-04,163.5753936767578,104.0,103.90493774414062,231.90013122558594,299.0255432128906
2023-05-05,171.25148010253906,105.66000366210938,104.7783203125,231.1652374267578,304.1559753417969
2023-05-08,171.18238830566406,105.83000183105469,106.96182250976562,231.65182495117188,302.19781494140625
2023-05-09,169.4755401611328,106.62000274658203,106.54497528076172,231.75112915039062,300.58233642578125
2023-05-10,171.24159240722656,110.19000244140625,110.9119873046875,231.463134765625,305.78131103515625
2023-05-11,171.4290771484375,112.18000030517578,115.69583892822266,234.1543426513672,303.62725830078125
2023-05-12,170.50035095214844,110.26000213623047,116.6287841796875,232.1881103515625,302.5111389160156
2023-05-15,170.00634765625,111.19999694824219,115.63628387451172,237.20306396484375,302.99090576171875
2023-05-16,170.00634765625,113.4000015258789,118.6137924194336,237.163330078125,305.22320556640625
2023-05-17,170.61892700195312,115.5,119.93380737304688,240.80789184570312,308.10809326171875
2023-05-18,172.9506072998047,118.1500015258789,121.90889739990234,245.13763427734375,312.543212890625
2023-05-19,173.05929565429688,116.25,121.83940887451172,243.93605041503906,312.36663818359375
2023-05-22,172.11077880859375,115.01000213623047,124.11223602294922,246.59744262695312,315.15338134765625
2023-05-23,169.50245666503906,114.98999786376953,121.64089965820312,245.0283966064453,309.3443908691406
2023-05-24,169.7790985107422,116.75,119.99336242675781,247.4812774658203,307.96087646484375
2023-05-25,170.91531372070312,115.0,122.55402374267578,250.93710327148438,319.804443359375
2023-05-26,173.3260040283203,120.11000061035156,123.67555236816406,260.2223205566406,326.64361572265625
2023-05-30,175.17361450195312,121.66000366210938,122.74259185791016,260.69891357421875,324.9950866699219
2023-05-31,175.1242218017578,120.58000183105469,121.94860076904297,262.8836364746094,322.2281494140625
2023-06-01,177.93016052246094,122.7699966430664,122.79222869873047,270.71893310546875,326.3394775390625
2023-06-02,178.77984619140625,124.25,123.73509216308594,270.71893310546875,329.1065673828125
2023-06-05,177.42626953125,125.30000305175781,125.0650405883789,269.50738525390625,329.6363525390625
2023-06-06,177.06072998046875,126.61000061035156,126.35530090332031,269.2392883300781,327.4188232421875
2023-06-07,175.68739318847656,121.2300033569336,121.58135986328125,261.77142333984375,317.31207275390625
2023-06-08,178.40438842773438,124.25,121.22407531738281,262.74462890625,319.1567687988281
2023-06-09,178.7897186279297,123.43000030517578,121.31339263916016,263.112060546875,320.6581115722656
2023-06-12,181.58575439453125,126.56999969482422,122.71281433105469,269.1697082519531,325.62310791015625
2023-06-13,181.11154174804688,126.66000366210938,122.9013900756836,269.4378356933594,328.01739501953125
2023-06-14,181.7438201904297,126.41999816894531,122.74259185791016,271.45379638671875,331.0101318359375
2023-06-15,183.7791290283203,127.11000061035156,124.15193176269531,279.87493896484375,341.5682373046875
2023-06-16,182.70220947265625,125.48999786376953,122.60364532470703,279.0506896972656,335.9064636230469
2023-06-20,182.79115295410156,125.77999877929688,122.17684936523438,282.35760498046875,331.7068176269531
2023-06-21,181.75375366210938,124.83000183105469,119.64598846435547,279.686279296875,327.3010559082031
2023-06-22,184.7572784423828,130.14999389648438,122.22650146484375,282.9038391113281,333.335693359375
